File,Participant,Agent_Type,Rounds,AblationType,Pred_Openness,Pred_Conscientiousness,Pred_Extraversion,Pred_Agreeableness,Pred_Neuroticism,GT_Openness,GT_Conscientiousness,GT_Extraversion,GT_Agreeableness,GT_Neuroticism,O_MAE,O_Error,O_RMSE,C_MAE,C_Error,C_RMSE,E_MAE,E_Error,E_RMSE,A_MAE,A_Error,A_RMSE,N_MAE,N_Error,N_RMSE,Avg_MAE,Avg_RMSE
20_宜人性_dialogue.txt,20,宜人性,4,dialogue,3.2,3.8,3.4,4.2,2.0,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.911,-0.911,1.077,0.9,-0.9,1.062,0.2,-0.2,0.208,1.25,1.25,1.562,0.812,0.881
20_宜人性_dialogue.txt,20,宜人性,1,dialogue,4.0,3.8,3.7,4.2,2.0,2.4,2.889,2.5,4.0,3.25,1.6,-1.6,2.112,0.911,-0.911,1.077,1.2,-1.2,1.488,0.2,-0.2,0.208,1.25,1.25,1.562,1.032,1.134
20_宜人性_dialogue.txt,20,宜人性,5,dialogue,3.2,3.8,2.8,4.2,2.5,2.4,2.889,2.5,4.0,3.25,0.8,-0.8,0.928,0.911,-0.911,1.077,0.3,-0.3,0.318,0.2,-0.2,0.208,0.75,0.75,0.862,0.592,0.658
20_宜人性_dialogue.txt,20,宜人性,6,dialogue,3.8,3.5,3.4,4.2,2.3,2.4,2.889,2.5,4.0,3.25,1.4,-1.4,1.792,0.611,-0.611,0.686,0.9,-0.9,1.062,0.2,-0.2,0.208,0.95,0.95,1.131,0.812,0.904
20_宜人性_dialogue.txt,20,宜人性,2,dialogue,3.8,3.4,3.2,4.2,2.0,2.4,2.889,2.5,4.0,3.25,1.4,-1.4,1.792,0.511,-0.511,0.563,0.7,-0.7,0.798,0.2,-0.2,0.208,1.25,1.25,1.562,0.812,0.929
20_宜人性_dialogue.txt,20,宜人性,3,dialogue,3.4,3.2,3.8,4.2,2.0,2.4,2.889,2.5,4.0,3.25,1.0,-1.0,1.2,0.311,-0.311,0.33,1.3,-1.3,1.638,0.2,-0.2,0.208,1.25,1.25,1.562,0.812,0.937
24_外向性_dialogue.txt,24,外向性,2,dialogue,3.0,3.0,2.0,4.2,2.0,4.2,3.556,3.25,3.889,3.25,1.2,1.2,1.488,0.556,0.556,0.617,1.25,1.25,1.562,0.311,-0.311,0.33,1.25,1.25,1.562,0.913,0.997
24_外向性_dialogue.txt,24,外向性,4,dialogue,4.0,3.5,4.3,4.2,2.0,4.2,3.556,3.25,3.889,3.25,0.2,0.2,0.208,0.056,0.056,0.056,1.05,-1.05,1.27,0.311,-0.311,0.33,1.25,1.25,1.562,0.573,0.749
24_外向性_dialogue.txt,24,外向性,5,dialogue,4.2,3.4,4.3,4.2,2.0,4.2,3.556,3.25,3.889,3.25,0.0,0.0,0.0,0.156,0.156,0.16,1.05,-1.05,1.27,0.311,-0.311,0.33,1.25,1.25,1.562,0.553,0.746
24_外向性_dialogue.txt,24,外向性,1,dialogue,3.0,4.0,2.8,4.0,2.0,4.2,3.556,3.25,3.889,3.25,1.2,1.2,1.488,0.444,-0.444,0.484,0.45,0.45,0.491,0.111,-0.111,0.114,1.25,1.25,1.562,0.691,0.826
24_外向性_dialogue.txt,24,外向性,3,dialogue,3.4,3.6,3.8,4.2,2.3,4.2,3.556,3.25,3.889,3.25,0.8,0.8,0.928,0.044,-0.044,0.045,0.55,-0.55,0.61,0.311,-0.311,0.33,0.95,0.95,1.131,0.531,0.624
24_外向性_dialogue.txt,24,外向性,6,dialogue,4.2,3.8,4.3,4.0,2.0,4.2,3.556,3.25,3.889,3.25,0.0,0.0,0.0,0.244,-0.244,0.256,1.05,-1.05,1.27,0.111,-0.111,0.114,1.25,1.25,1.562,0.531,0.74
17_开放性_dialogue.txt,17,开放性,2,dialogue,4.0,3.5,3.8,4.2,2.0,3.4,3.444,3.625,4.222,2.5,0.6,-0.6,0.672,0.056,-0.056,0.056,0.175,-0.175,0.181,0.022,0.022,0.022,0.5,0.5,0.55,0.271,0.359
17_开放性_dialogue.txt,17,开放性,1,dialogue,3.2,4.2,2.8,4.3,2.0,3.4,3.444,3.625,4.222,2.5,0.2,0.2,0.208,0.756,-0.756,0.87,0.825,0.825,0.961,0.078,-0.078,0.079,0.5,0.5,0.55,0.472,0.556
17_开放性_dialogue.txt,17,开放性,3,dialogue,3.4,3.6,3.0,4.2,2.0,3.4,3.444,3.625,4.222,2.5,0.0,0.0,0.0,0.156,-0.156,0.16,0.625,0.625,0.703,0.022,0.022,0.022,0.5,0.5,0.55,0.261,0.365
17_开放性_dialogue.txt,17,开放性,4,dialogue,3.4,4.0,2.8,4.2,2.0,3.4,3.444,3.625,4.222,2.5,0.0,0.0,0.0,0.556,-0.556,0.617,0.825,0.825,0.961,0.022,0.022,0.022,0.5,0.5,0.55,0.381,0.498
17_开放性_dialogue.txt,17,开放性,6,dialogue,4.0,4.0,2.0,4.0,2.0,3.4,3.444,3.625,4.222,2.5,0.6,-0.6,0.672,0.556,-0.556,0.617,1.625,1.625,2.153,0.222,0.222,0.232,0.5,0.5,0.55,0.701,0.85
17_开放性_dialogue.txt,17,开放性,5,dialogue,3.7,4.0,3.4,4.3,2.0,3.4,3.444,3.625,4.222,2.5,0.3,-0.3,0.318,0.556,-0.556,0.617,0.225,0.225,0.235,0.078,-0.078,0.079,0.5,0.5,0.55,0.332,0.376
28_尽责性_dialogue.txt,28,尽责性,6,dialogue,4.0,4.0,3.0,4.0,2.0,3.2,2.667,2.5,3.889,2.875,0.8,-0.8,0.928,1.333,-1.333,1.689,0.5,-0.5,0.55,0.111,-0.111,0.114,0.875,0.875,1.028,0.724,0.83
28_尽责性_dialogue.txt,28,尽责性,3,dialogue,3.2,3.5,3.0,4.2,2.0,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.833,-0.833,0.972,0.5,-0.5,0.55,0.311,-0.311,0.33,0.875,0.875,1.028,0.504,0.601
28_尽责性_dialogue.txt,28,尽责性,4,dialogue,3.0,4.0,2.8,4.2,2.5,3.2,2.667,2.5,3.889,2.875,0.2,0.2,0.208,1.333,-1.333,1.689,0.3,-0.3,0.318,0.311,-0.311,0.33,0.375,0.375,0.403,0.504,0.655
28_尽责性_dialogue.txt,28,尽责性,5,dialogue,3.2,3.2,3.0,4.2,2.0,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.533,-0.533,0.59,0.5,-0.5,0.55,0.311,-0.311,0.33,0.875,0.875,1.028,0.444,0.529
28_尽责性_dialogue.txt,28,尽责性,2,dialogue,3.0,3.8,2.8,4.2,2.2,3.2,2.667,2.5,3.889,2.875,0.2,0.2,0.208,1.133,-1.133,1.39,0.3,-0.3,0.318,0.311,-0.311,0.33,0.675,0.675,0.766,0.524,0.627
28_尽责性_dialogue.txt,28,尽责性,1,dialogue,3.2,3.4,2.8,4.0,2.0,3.2,2.667,2.5,3.889,2.875,0.0,0.0,0.0,0.733,-0.733,0.841,0.3,-0.3,0.318,0.111,-0.111,0.114,0.875,0.875,1.028,0.404,0.53
1_宜人性_dialogue.txt,1,宜人性,5,dialogue,3.2,3.0,3.0,4.2,2.0,2.7,3.222,2.75,3.444,3.875,0.5,-0.5,0.55,0.222,0.222,0.232,0.25,-0.25,0.263,0.756,-0.756,0.87,1.875,1.875,2.578,0.721,0.943
1_宜人性_dialogue.txt,1,宜人性,3,dialogue,3.0,3.2,3.4,3.8,2.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.022,0.022,0.022,0.65,-0.65,0.734,0.356,-0.356,0.381,1.875,1.875,2.578,0.641,0.912
1_宜人性_dialogue.txt,1,宜人性,1,dialogue,3.0,3.0,2.0,3.0,2.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.222,0.222,0.232,0.75,0.75,0.862,0.444,0.444,0.484,1.875,1.875,2.578,0.718,0.94
1_宜人性_dialogue.txt,1,宜人性,2,dialogue,3.2,3.5,3.0,4.0,2.0,2.7,3.222,2.75,3.444,3.875,0.5,-0.5,0.55,0.278,-0.278,0.293,0.25,-0.25,0.263,0.556,-0.556,0.617,1.875,1.875,2.578,0.692,0.918
1_宜人性_dialogue.txt,1,宜人性,6,dialogue,3.0,3.0,3.0,4.3,2.0,2.7,3.222,2.75,3.444,3.875,0.3,-0.3,0.318,0.222,0.222,0.232,0.25,-0.25,0.263,0.856,-0.856,1.002,1.875,1.875,2.578,0.701,0.943
1_宜人性_dialogue.txt,1,宜人性,4,dialogue,3.4,3.6,2.8,4.2,2.5,2.7,3.222,2.75,3.444,3.875,0.7,-0.7,0.798,0.378,-0.378,0.406,0.05,-0.05,0.05,0.756,-0.756,0.87,1.375,1.375,1.753,0.652,0.787
38_尽责性_dialogue.txt,38,尽责性,2,dialogue,3.3,4.0,2.8,4.2,2.0,3.3,3.556,2.875,4.333,3.25,0.0,0.0,0.0,0.444,-0.444,0.484,0.075,0.075,0.076,0.133,0.133,0.137,1.25,1.25,1.562,0.381,0.597
38_尽责性_dialogue.txt,38,尽责性,1,dialogue,3.2,3.8,2.8,4.2,2.0,3.3,3.556,2.875,4.333,3.25,0.1,0.1,0.102,0.244,-0.244,0.256,0.075,0.075,0.076,0.133,0.133,0.137,1.25,1.25,1.562,0.361,0.575
38_尽责性_dialogue.txt,38,尽责性,3,dialogue,3.2,3.2,2.3,4.0,2.0,3.3,3.556,2.875,4.333,3.25,0.1,0.1,0.102,0.356,0.356,0.381,0.575,0.575,0.641,0.333,0.333,0.356,1.25,1.25,1.562,0.523,0.654
38_尽责性_dialogue.txt,38,尽责性,5,dialogue,3.2,3.8,3.0,4.2,2.0,3.3,3.556,2.875,4.333,3.25,0.1,0.1,0.102,0.244,-0.244,0.256,0.125,-0.125,0.128,0.133,0.133,0.137,1.25,1.25,1.562,0.371,0.577
